defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	cell	cell_label
http://purl.obolibrary.org/obo/CL_1000311	adipocyte of epicardial fat of left ventricle	http://purl.obolibrary.org/obo/UBERON_0002084	heart left ventricle	http://purl.obolibrary.org/obo/CL_1000309	epicardial adipocyte
http://purl.obolibrary.org/obo/CL_1000310	adipocyte of epicardial fat of right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	heart right ventricle	http://purl.obolibrary.org/obo/CL_1000309	epicardial adipocyte
http://purl.obolibrary.org/obo/CL_0002615	adipocyte of omentum tissue	http://purl.obolibrary.org/obo/UBERON_0003688	omentum	http://purl.obolibrary.org/obo/CL_0000136	fat cell
http://purl.obolibrary.org/obo/CL_1000427	adrenal cortex chromaffin cell	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex	http://purl.obolibrary.org/obo/CL_0000166	chromaffin cell
http://purl.obolibrary.org/obo/CL_1001601	adrenal gland glandular cell	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex	http://purl.obolibrary.org/obo/CL_0000150	glandular epithelial cell
http://purl.obolibrary.org/obo/CL_0000336	adrenal medulla chromaffin cell	http://purl.obolibrary.org/obo/UBERON_0001236	adrenal medulla	http://purl.obolibrary.org/obo/CL_0000166	chromaffin cell
http://purl.obolibrary.org/obo/CL_0002503	adventitial cell	http://purl.obolibrary.org/obo/UBERON_0005742	adventitia	http://purl.obolibrary.org/obo/CL_0002320	connective tissue cell
http://purl.obolibrary.org/obo/CL_0002537	amnion mesenchymal stem cell	http://purl.obolibrary.org/obo/UBERON_0000305	amnion	http://purl.obolibrary.org/obo/CL_0000134	mesenchymal stem cell
http://purl.obolibrary.org/obo/CL_0000350	amnioserosal cell	http://purl.obolibrary.org/obo/UBERON_0010302	amnioserosa	http://purl.obolibrary.org/obo/CL_0000349	extraembryonic cell
http://purl.obolibrary.org/obo/CL_0002602	annulus pulposus cell	http://purl.obolibrary.org/obo/UBERON_0004715	annulus fibrosus disci intervertebralis	http://purl.obolibrary.org/obo/CL_0002320	connective tissue cell
http://purl.obolibrary.org/obo/CL_0009048	anorectum macrophage	http://purl.obolibrary.org/obo/UBERON_8410050	anorectum	http://purl.obolibrary.org/obo/CL_0000235	macrophage
http://purl.obolibrary.org/obo/CL_1000239	anterior lateral line nerve glial cell	http://purl.obolibrary.org/obo/UBERON_2000425	anterior lateral line nerve	http://purl.obolibrary.org/obo/CL_0000125	glial cell
http://purl.obolibrary.org/obo/CL_2000036	anterior lateral line neuromast support cell	http://purl.obolibrary.org/obo/UBERON_2001470	anterior lateral line	http://purl.obolibrary.org/obo/CL_0000852	neuromast support cell
http://purl.obolibrary.org/obo/CL_0002539	aortic smooth muscle cell	http://purl.obolibrary.org/obo/UBERON_0004178	aorta smooth muscle tissue	http://purl.obolibrary.org/obo/CL_0000359	vascular associated smooth muscle cell
http://purl.obolibrary.org/obo/CL_1001585	appendix glandular cell	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix	http://purl.obolibrary.org/obo/CL_0000150	glandular epithelial cell
http://purl.obolibrary.org/obo/CL_1000327	appendix goblet cell	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix	http://purl.obolibrary.org/obo/CL_0000160	goblet cell
http://purl.obolibrary.org/obo/CL_0009036	appendix macrophage	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix	http://purl.obolibrary.org/obo/CL_0000235	macrophage
http://purl.obolibrary.org/obo/CL_1001135	arcuate artery cell	http://purl.obolibrary.org/obo/UBERON_0001552	kidney arcuate artery	http://purl.obolibrary.org/obo/CL_1001045	kidney cortex artery cell
http://purl.obolibrary.org/obo/CL_1001213	arcuate artery endothelial cell	http://purl.obolibrary.org/obo/UBERON_0001552	kidney arcuate artery	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_1001214	arcuate artery smooth muscle cell	http://purl.obolibrary.org/obo/UBERON_0001552	kidney arcuate artery	http://purl.obolibrary.org/obo/CL_0000192	smooth muscle cell
http://purl.obolibrary.org/obo/CL_1001142	arcuate vein cell	http://purl.obolibrary.org/obo/UBERON_0004719	kidney arcuate vein	http://purl.obolibrary.org/obo/CL_1001052	kidney cortex vein cell
http://purl.obolibrary.org/obo/CL_1001220	arcuate vein endothelial cell	http://purl.obolibrary.org/obo/UBERON_0004719	kidney arcuate vein	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_1001221	arcuate vein smooth muscle cell	http://purl.obolibrary.org/obo/UBERON_0004719	kidney arcuate vein	http://purl.obolibrary.org/obo/CL_0000192	smooth muscle cell
