Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	sncg GABAergic cortical interneuron	definition	A GABAergic neuron located in the cerebral cortex that expresses Gamma-synuclein
ERROR	multiple_definitions	sncg GABAergic cortical interneuron	definition	<xref:(ILX:0770150)>
WARN	missing_definition	neuronal receptor cell	definition	
WARN	missing_definition	germ line stem cell	definition	
WARN	missing_definition	male germ line stem cell	definition	
WARN	missing_definition	female germ line stem cell	definition	
WARN	missing_definition	CNS neuron (sensu Nematoda and Protostomia)	definition	
WARN	missing_definition	neuron neural crest derived	definition	
WARN	missing_definition	glioblast	definition	
WARN	missing_definition	epithelial fate stem cell	definition	
WARN	missing_definition	bone matrix secreting cell	definition	
WARN	missing_definition	branched duct epithelial cell	definition	
WARN	missing_definition	non-branched duct epithelial cell	definition	
WARN	missing_definition	barrier epithelial cell	definition	
WARN	missing_definition	squamous epithelial cell	definition	
WARN	missing_definition	peridermal cell	definition	
WARN	missing_definition	stratified epithelial cell	definition	
WARN	missing_definition	germ line stem cell (sensu Vertebrata)	definition	
WARN	missing_definition	germ line stem cell (sensu Nematoda and Protostomia)	definition	
WARN	missing_definition	male germ line stem cell (sensu Nematoda and Protostomia)	definition	
WARN	missing_definition	female germ line stem cell (sensu Nematoda and Protostomia)	definition	
WARN	missing_definition	male germ line stem cell (sensu Vertebrata)	definition	
WARN	missing_definition	female germ line stem cell (sensu Vertebrata)	definition	
WARN	missing_definition	neuron associated cell	definition	
WARN	missing_definition	polymodal neuron	definition	
WARN	missing_definition	adrenergic neuron	definition	
WARN	missing_definition	peptidergic neuron	definition	
WARN	missing_definition	columnar neuron	definition	
WARN	missing_definition	surface ectodermal cell	definition	
WARN	missing_definition	CNS neuron (sensu Vertebrata)	definition	
WARN	missing_definition	basket cell	definition	
WARN	missing_definition	granule cell	definition	
WARN	missing_definition	stellate neuron	definition	
WARN	missing_definition	neuron associated cell (sensu Vertebrata)	definition	
WARN	missing_definition	neuron associated cell (sensu Nematoda and Protostomia)	definition	
WARN	missing_definition	gut endothelial cell	definition	
WARN	missing_definition	guidepost cell	definition	
WARN	missing_definition	simple columnar epithelial cell	definition	
WARN	missing_definition	visual pigment cell	definition	
WARN	missing_definition	protein secreting cell	definition	
WARN	missing_definition	seromucus secreting cell	definition	
WARN	missing_definition	acid secreting cell	definition	
WARN	missing_definition	peptide hormone secreting cell	definition	
WARN	missing_definition	insulin secreting cell	definition	
WARN	missing_definition	somatostatin secreting cell	definition	
WARN	missing_definition	steroid hormone secreting cell	definition	
WARN	missing_definition	ecdysteroid secreting cell	definition	
WARN	missing_definition	testosterone secreting cell	definition	
WARN	missing_definition	progesterone secreting cell	definition	
WARN	missing_definition	flight muscle cell	definition	
WARN	missing_definition	touch receptor cell	definition	
WARN	missing_definition	gravity sensitive cell	definition	
WARN	missing_definition	acceleration receptive cell	definition	
WARN	missing_definition	olfactory receptor cell	definition	
WARN	missing_definition	pH receptor cell	definition	
WARN	missing_definition	insulating cell	definition	
WARN	missing_definition	binucleate cell	definition	
WARN	missing_definition	keratinizing barrier epithelial cell	definition	
WARN	missing_definition	non keratinizing barrier epithelial cell	definition	
WARN	missing_definition	brush border epithelial cell	definition	
WARN	missing_definition	stratified squamous epithelial cell	definition	
WARN	missing_definition	stratified cuboidal epithelial cell	definition	
WARN	missing_definition	Mauthner neuron	definition	
WARN	missing_definition	hatching gland cell	definition	
WARN	missing_definition	extramedullary cell	definition	
WARN	missing_definition	eurydendroid cell	definition	
WARN	missing_definition	eukaryotic cell	definition	
WARN	missing_definition	uric acid accumulating cell	definition	
WARN	missing_definition	Eumycetozoan cell	definition	
WARN	missing_definition	eye photoreceptor cell	definition	
WARN	missing_definition	pole cell	definition	
WARN	missing_definition	crystallin accumulating cell	definition	
WARN	missing_definition	metal ion accumulating cell	definition	
WARN	missing_definition	copper accumulating cell	definition	
WARN	missing_definition	iron accumulating cell	definition	
WARN	missing_definition	keratin accumulating cell	definition	
WARN	missing_definition	milk secreting cell	definition	
WARN	missing_definition	mucus secreting cell	definition	
WARN	missing_definition	seminal fluid secreting cell	definition	
WARN	missing_definition	lysozyme secreting cell	definition	
WARN	missing_definition	metanephric mesenchyme stem cell	definition	
WARN	missing_definition	glycogen accumulating cell	definition	
WARN	missing_definition	extracellular matrix secreting cell	definition	
WARN	missing_definition	myelin accumulating cell	definition	
WARN	missing_definition	oxygen accumulating cell	definition	
WARN	missing_definition	vegetative cell (sensu Fungi)	definition	
WARN	missing_definition	neuroblast (sensu Nematoda and Protostomia)	definition	
WARN	missing_definition	glioblast (sensu Nematoda and Protostomia)	definition	
WARN	missing_definition	pigment cell (sensu Nematoda and Protostomia)	definition	
WARN	missing_definition	extraembryonic cell	definition	
