?cls	?xref
<http://purl.obolibrary.org/obo/CL_0000540>	"FBbt:00005106"
<http://purl.obolibrary.org/obo/CL_0000540>	"BTO:0000938"
<http://purl.obolibrary.org/obo/CL_0000540>	"WBbt:0003679"
<http://purl.obolibrary.org/obo/CL_0000540>	"VHOG:0001483"
<http://purl.obolibrary.org/obo/CL_0000540>	"CALOHA:TS-0683"
<http://purl.obolibrary.org/obo/CL_0000540>	"FMA:54527"
<http://purl.obolibrary.org/obo/CL_0000236>	"MESH:D001402"
<http://purl.obolibrary.org/obo/CL_0000236>	"VHOG:0001480"
<http://purl.obolibrary.org/obo/CL_0000236>	"CALOHA:TS-0068"
<http://purl.obolibrary.org/obo/CL_0000236>	"BTO:0000776"
<http://purl.obolibrary.org/obo/CL_0000236>	"FMA:62869"
<http://purl.obolibrary.org/obo/CL_0000163>	"FMA:83809"
<http://purl.obolibrary.org/obo/CL_0000034>	"FMA:63368"
<http://purl.obolibrary.org/obo/CL_0000034>	"CALOHA:TS-2086"
<http://purl.obolibrary.org/obo/CL_0009004>	"PMID:10702418"
<http://purl.obolibrary.org/obo/CL_0000746>	"MESH:D032383"
<http://purl.obolibrary.org/obo/CL_0000746>	"BTO:0001539"
<http://purl.obolibrary.org/obo/CL_0000746>	"CALOHA:TS-0115"
<http://purl.obolibrary.org/obo/CL_0000746>	"FMA:14067"
<http://purl.obolibrary.org/obo/CL_0000057>	"BTO:0000452"
<http://purl.obolibrary.org/obo/CL_0000057>	"VHOG:0001482"
<http://purl.obolibrary.org/obo/CL_0000057>	"FMA:63877"
<http://purl.obolibrary.org/obo/CL_0000057>	"CALOHA:TS-0362"
<http://purl.obolibrary.org/obo/CL_0000057>	"NCIT:C12482"
<http://purl.obolibrary.org/obo/CL_0000192>	"BTO:0004576"
<http://purl.obolibrary.org/obo/CL_0000192>	"FMA:14072"
<http://purl.obolibrary.org/obo/CL_0000192>	"CALOHA:TS-2159"
<http://purl.obolibrary.org/obo/CL_0000623>	"MESH:D007694"
<http://purl.obolibrary.org/obo/CL_0000623>	"FMA:63147"
<http://purl.obolibrary.org/obo/CL_0000623>	"BTO:0004716"
<http://purl.obolibrary.org/obo/CL_0000623>	"VHOG:0001697"
<http://purl.obolibrary.org/obo/CL_0000623>	"BTO:0000914"
<http://purl.obolibrary.org/obo/CL_0000623>	"CALOHA:TS-0664"
<http://purl.obolibrary.org/obo/CL_0000623>	"FMA:83601"
<http://purl.obolibrary.org/obo/CL_0000066>	"FBbt:00000124"
<http://purl.obolibrary.org/obo/CL_0000066>	"FMA:66768"
<http://purl.obolibrary.org/obo/CL_0000066>	"CALOHA:TS-2026"
<http://purl.obolibrary.org/obo/CL_0000066>	"CARO:0000077"
<http://purl.obolibrary.org/obo/CL_0000066>	"WBbt:0003672"
<http://purl.obolibrary.org/obo/CL_0000066>	"BTO:0000414"
<http://purl.obolibrary.org/obo/CL_0000499>	"FMA:83624"
<http://purl.obolibrary.org/obo/CL_0000499>	"BTO:0002064"
<http://purl.obolibrary.org/obo/CL_0000152>	"FMA:16014"
<http://purl.obolibrary.org/obo/CL_0000576>	"FMA:62864"
