Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	CP:0000000	IAO:0000115	Cytoplasm that exhibits molecular interaction for acidic dyes under specific pH conditions.	
ERROR	duplicate_definition	CP:0000027	IAO:0000115	Cytoplasm that exhibits molecular interaction for acidic dyes under specific pH conditions.	
ERROR	duplicate_definition	CL:0002403	IAO:0000115	A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.	
ERROR	duplicate_definition	CL:0002407	IAO:0000115	A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.	
ERROR	duplicate_definition	CL:0002409	IAO:0000115	A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.	
ERROR	duplicate_definition	CL:0000587	IAO:0000115	A thermoreceptor cell that detects reduced temperatures.	
ERROR	duplicate_definition	CL:0000591	IAO:0000115	A thermoreceptor cell that detects reduced temperatures.	
ERROR	duplicate_definition	CL:0000481	IAO:0000115	A peptide hormone secreting cell that secretes cholecystokin stimulating hormone	
ERROR	duplicate_definition	CL:0000483	IAO:0000115	A peptide hormone secreting cell that secretes cholecystokin stimulating hormone	
ERROR	duplicate_definition	CL:0002338	IAO:0000115	A natural killer cell that is developmentally immature, has the phenotype CD34-negative, CD56-negative, CD117-positive, CD122-positive,and CD161-positive.	
ERROR	duplicate_definition	CL:0002344	IAO:0000115	A natural killer cell that is developmentally immature, has the phenotype CD34-negative, CD56-negative, CD117-positive, CD122-positive,and CD161-positive.	
ERROR	duplicate_definition	CL:0001060	IAO:0000115	A hematopoietic oligopotent progenitor cell that has the ability to differentiate into limited cell types but lacks lineage cell markers and self renewal capabilities. Cell lacks hematopoeitic lineage markers.	
ERROR	duplicate_definition	CL:0002032	IAO:0000115	A hematopoietic oligopotent progenitor cell that has the ability to differentiate into limited cell types but lacks lineage cell markers and self renewal capabilities. Cell lacks hematopoeitic lineage markers.	
ERROR	duplicate_definition	CL:0002430	IAO:0000115	A double-positive thymocyte that is undergoing positive selection, has high expression of the alpha-beta T cell receptor, is CD69-positive, and is in the process of down regulating the CD4 co-receptor.	
